epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.56681,2.06888,3.4366,2.42405,0,0,0,0,0,34.4375,0,6.668e-05,6.668e-05,6.668e-05
2,4.04305,1.99913,3.49814,2.25593,0,0,0,0,0,34.4375,0,0.000148545,0.000148545,0.000148545
3,5.61972,1.51549,3.26101,1.87548,0,0,0,0,0,34.4375,0,0.000228759,0.000228759,0.000228759
4,7.25722,1.39888,2.97705,1.70139,0,0,0,0,0,34.4375,0,0.000307323,0.000307323,0.000307323
5,8.83578,1.26104,2.84983,1.63794,0,0,0,0,0,34.0312,0,0.000384237,0.000384237,0.000384237
6,10.2213,1.19185,2.71964,1.51379,0,0,0,0,0,32.625,0,0.0004595,0.0004595,0.0004595
7,11.6584,1.33257,2.46451,1.70899,0,0,0,0,0,29.9844,0,0.000533113,0.000533113,0.000533113
8,13.1184,1.25184,2.27248,1.63873,0,0,0,0,0,26.6094,0,0.000605076,0.000605076,0.000605076
9,14.5597,1.32201,2.0769,1.70685,0,0,0,0,0,27,0,0.000675388,0.000675388,0.000675388
10,15.9429,1.19558,1.93718,1.51496,0,0,0,0,0,28.6875,0,0.00074405,0.00074405,0.00074405
11,17.2931,1.25341,1.89943,1.56819,0,0,0,0,0,33.5938,0,0.000811062,0.000811062,0.000811062
12,18.7909,1.34321,1.96205,1.60906,0,0,0,0,0,37.5938,0,0.000876424,0.000876424,0.000876424
13,20.2372,1.2873,1.71059,1.52798,0,0,0,0,0,37.1562,0,0.000940135,0.000940135,0.000940135
14,21.6706,1.37248,1.89337,1.64175,0,0,0,0,0,35.4375,0,0.0010022,0.0010022,0.0010022
15,23.0993,1.31129,1.83271,1.57722,0,0,0,0,0,29.5781,0,0.00106261,0.00106261,0.00106261
16,24.5873,1.37365,1.86175,1.64975,0,0,0,0,0,31.9375,0,0.00112137,0.00112137,0.00112137
17,26.0054,1.21101,1.62021,1.48482,0,0,0,0,0,36.625,0,0.00117848,0.00117848,0.00117848
18,27.3593,1.16079,1.62716,1.44555,0,0,0,0,0,39.8125,0,0.00123394,0.00123394,0.00123394
19,28.7141,1.25476,1.74992,1.56199,0,0,0,0,0,54.8125,0,0.00128774,0.00128774,0.00128774
